contract_address,handle_id,handle_collection,token_id,token_collection,transaction_executor,timestamp,tx_hash,block_number,block_hash
0xd4f2f33680fccb36748fa9831851643781608844,101414590471737623033762226728828631946898353072023650684043308882838668805259,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321949,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714191889,0x5c2efdaded7b7b1792135ae24d0e91c0a4f7474e52c8764c9ddbf9e214cd9bbc,56299519,0x17d3…c869
0xd4f2f33680fccb36748fa9831851643781608844,6477743923256607393595440650044504530288095028742970653664160066822888834867,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321950,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714191937,0x5c7ae0bea6c00dff240c7a623f634e906119755509078922c19cf5febcadbd98,56299541,0x8d84…86d3
0xd4f2f33680fccb36748fa9831851643781608844,60121352310228585192357611027100308111423529883164757248136000191005501811555,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321951,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192077,0x9026ec061a9f146cf5c6eb0be78b4182f4eb7f8b124092025841c84e2483df5f,56299587,0x9d3b…8e18
0xd4f2f33680fccb36748fa9831851643781608844,71982775510747540318035337242304239601822604375002871199035081345474941270818,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321952,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192245,0x9d555864e0c7339c571246079389cd2a1c4e1e60c24f5dba187d403d77a8d6ca,56299655,0x587b…e724
0xd4f2f33680fccb36748fa9831851643781608844,44499446061927450024865147078664574017681055239621943793859398090845290168374,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321953,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192411,0xd08c49b52831a21d28fc677c05772b788ecc271fd18fe5fca3b7f420d70fc9a4,56299733,0xa192…c87c
0xd4f2f33680fccb36748fa9831851643781608844,82511154849386520737697416356594844025502877652946897839923320417836601206114,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321954,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192445,0xfbf903b83bb6cb9b4aff5c12228f0faab541371b05f6b0e37b4056cbb24d76e7,56299749,0xf5d0…441b
0xd4f2f33680fccb36748fa9831851643781608844,28283161346312307839775736555746991333080818252831162326834814927220655010170,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321955,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192461,0x7c19e4fe42d982e500017d2ff514fa538d48301e503da4d386a7a293a7e06653,56299757,0x34a6…0a96
0xd4f2f33680fccb36748fa9831851643781608844,102871570180996915790094783276706442573542469211665814090672851162631973758860,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321956,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192475,0x4535b3a9bc3183d0d7c49ed1e7465f0b2ff5a3f448943c63a4110d98068ec70a,56299763,0xc48a…4804
0xd4f2f33680fccb36748fa9831851643781608844,12042875441086301497200909605940899322441112554529568574382319349050393297506,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321957,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192757,0x812088d99d8df75b497064c8cd0f2113f0487d7306e1fada4af9ce2ab8e94784,56299881,0x364b…1fdc
0xd4f2f33680fccb36748fa9831851643781608844,33030163715343595045806028129932214927280952614994039283695805730637580386223,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321958,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192897,0x8a52a1c9667d3edb35e0f3339fe6fb69ed49c979ec0d0e68d49afdaa55a49d76,56299947,0x96f3…5c63
0xd4f2f33680fccb36748fa9831851643781608844,32998267503849263862445480876813725682334906922986193933702111389635452001824,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321959,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714192993,0x8031735bbbc0a946d404922964c1d706acc99284cb5ecad1f26162475e53c616,56299992,0xf5e0…8ae4
0xd4f2f33680fccb36748fa9831851643781608844,87170186870179099019157838256477301699314406877191928917452386589613707448932,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321960,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714193045,0x77c0cb0c407ea8aa48d5700236254d6c6d00b97bbacadaebf7daf3b6dc23b317,56300008,0xd635…e358
0xd4f2f33680fccb36748fa9831851643781608844,48087817950082889134990045882370324684550071818062821687476531486703686312835,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,271211,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0xa533f6a8db9ebbff401863ffa9c5bda48dfb4fd2,1714193839,0x8a28787191ee12e2c23fab82300b2e3d79e795df5b2848acef108e0978f2fbaf,56300359,0x4902…f81a
0xd4f2f33680fccb36748fa9831851643781608844,60184663307597177658958448612521189106556727804182751894294483172218959509662,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321961,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714194179,0xa2dac3dce42e413ae6ed5824756802f6978b800278d4918445cdef5030ed5654,56300504,0xd795…9f68
0xd4f2f33680fccb36748fa9831851643781608844,17142629406270002405157012960108696504427278086007225611380285387426135165624,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321964,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714194335,0xe542e806c6632058e62ffc6a903c89ca3973044d14850bba23cdf2d6f08d5172,56300576,0x9b0e…7763
0xd4f2f33680fccb36748fa9831851643781608844,15493560911176207138332429704681406088023966765869693542220126012437250299324,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321965,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714194509,0x17df6819fe4bcff91a80766bb2440e25c4885e48082f466281fb86da2ed4b6bb,56300644,0x3186…878f
0xd4f2f33680fccb36748fa9831851643781608844,82078703080489801788641268198208012387312904980276395213976676772542486632657,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321966,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714194605,0x9de8edcfdbcef497d54a0957145490ef9565fba24e2e4b63116ab782c6d55697,56300688,0x4bfc…cc12
0xd4f2f33680fccb36748fa9831851643781608844,96752485393336804928201224839193521468519498409784009243903715859074607973181,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321967,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714194989,0x4d706c95719af2cc1f501a3460adb60de1c7d57e318d82a958d7ae7eead01861,56300837,0x8b7f…7bab
0xd4f2f33680fccb36748fa9831851643781608844,35657272750911468256514313446350079005134180511745396874728710025854161964798,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321968,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714194993,0xe781c3eb8712d5bc367d81389e642ebae4f04b8e182e491b8d293271a5ea3e5f,56300839,0xab6c…1b14
0xd4f2f33680fccb36748fa9831851643781608844,12329364505927915505390955257962572443088183164910833972346906303370694802833,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321969,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195115,0xa9a877bcdb4ebaa4d6ce1c26378351827a6aa1f7e7e94daab57b452c7f228220,56300896,0x0591…dc5f
0xd4f2f33680fccb36748fa9831851643781608844,17238281218140536316438753924660985032791441689475587496392322101323211447277,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321970,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195117,0x1ae38527784f629c102ac1b281a769661567520bdd027cf4ae24074a1098b2a2,56300897,0x851d…76b1
0xd4f2f33680fccb36748fa9831851643781608844,25929558080749271120793107387623868756858261734781786494360579133871707732332,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321971,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195135,0x9786cc097a3fdde0eaa21512a806eda6cbb6d9fb7ae34ad828994eab09580c60,56300906,0x746b…863b
0xd4f2f33680fccb36748fa9831851643781608844,72093015950959918943956941199568770903908551622153184284227585726745374250766,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321972,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195365,0x079f9280135a71ef9b257403714142abc16e973b156df3ebdc0f2cb8cfdd2698,56301014,0xefb4…cea2
0xd4f2f33680fccb36748fa9831851643781608844,71840992930462881403112218529327195792519467481922779921898411410691903078185,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321973,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195381,0x20b094395eb8915a1704fc3eb22b26949d1bd67462d0aa066eb0ca259a51f4f8,56301022,0x9d10…b5fc
0xd4f2f33680fccb36748fa9831851643781608844,99265460426634271877904783240720505213221883614194500159105027257073033222474,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321974,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195485,0xf0f21d78e7120225168f0399c95f0e8bd95c67eb72ecaea06e1f5eb6c2f9860c,56301071,0x755c…c65e
0xd4f2f33680fccb36748fa9831851643781608844,78835117325455554685571240825392314387797702789425121287702244820889524447655,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321975,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195495,0x20c61880166af3a32089cf653dc79ec3c04f7fd6bcbc432acf3981e9d38382db,56301075,0x16f8…59ba
0xd4f2f33680fccb36748fa9831851643781608844,106125585154884603783099322844308290626756174315898509269744776959263039351837,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321976,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195505,0x1abefa7c0f557ae0b3d80534b841a0beedd5b65746d5ed88168bc8e15987eb56,56301080,0x23d9…8abe
0xd4f2f33680fccb36748fa9831851643781608844,31487120576045622116096560473400934361404385246813202803111261113602514044770,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321977,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195527,0x8ba7b2a05c4b91da168daa09a0243b43aa5f655a2335834a9fc995c84447a02c,56301090,0xb4de…a2c4
0xd4f2f33680fccb36748fa9831851643781608844,103311523765747836924487938183662057782023891475686995466367747001039253179000,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,270401,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x66ecc20304cae3c5ba62a3bc18e6946baab40e49,1714195629,0xba18971d58dd9d418c32f8f781dbbba49f35a2d2b886fdc85436f2df4d81f27a,56301138,0x793c…3aba
0xd4f2f33680fccb36748fa9831851643781608844,71897892278081132127588371801741160997249930834536311226630766329175567481240,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321978,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714195801,0x4bfd28d67bd2eabdf1a4283610885a4d2eaa5e0170a29f9d443a88e60c295eb9,56301204,0xb244…95a1
0xd4f2f33680fccb36748fa9831851643781608844,85269286599026449981966924087922299053021136777936614974376397147013676791164,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321979,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196005,0x3e6e0c8b0fba7d36b869f88f519edb301b92d6b5dce69a99901d7b09fbb5424e,56301285,0xa4b6…76e2
0xd4f2f33680fccb36748fa9831851643781608844,63265017260388278197797594383262445632257140543782977268602445175226685567433,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321980,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196023,0x8dacd3777dd497d26354591669942d1418cd2d00397a83154dc6f99f3f661eb8,56301294,0x505e…b8c6
0xd4f2f33680fccb36748fa9831851643781608844,51192702565765340859677000787444829449857326261148508034862470335342303366416,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321981,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196105,0x66176cf7dd62a2b7b141e9956dd67287f118a294e77d44b5fde7fc19c47c110d,56301332,0x7cc4…724a
0xd4f2f33680fccb36748fa9831851643781608844,109460321559261095187763904400312132487238409949308488212711564824142123902834,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321982,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196105,0x5d183a742b899b09c198239ada87d3ab359b3515e00b073736fd2d7fe0ccfc10,56301332,0x7cc4…724a
0xd4f2f33680fccb36748fa9831851643781608844,62802569912378243470122464338572815309831411305017593340540007204702249911346,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321983,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196159,0x798364ed935ad554660d2ddc6324eb3d5a3125424bf9355bd51f4711c613f1aa,56301358,0x3858…5c79
0xd4f2f33680fccb36748fa9831851643781608844,43229194928368610185616239502938916232256759551899450974161791406670992126487,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321984,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196167,0x24325e870cd49ac9d1b8217938c3d3e62b4208248bac631b6965429fcb2bffb8,56301361,0xfe17…6a64
0xd4f2f33680fccb36748fa9831851643781608844,34888406884316018767027076523965379181161739621154791185740896412166256649650,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321985,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196205,0x995e3477a4a107cbcdc711abd07a57faef584f08718c8912b08b3d79ab6e99e1,56301379,0xe69a…662a
0xd4f2f33680fccb36748fa9831851643781608844,87239938437033467796480177912637213552322027201962999513498157621001270593332,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321986,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196301,0x2d38ffcb16930217bfb5f9b0b86fdf4e8d747822a94b8631096cf95871864d0a,56301424,0x01d3…df8e
0xd4f2f33680fccb36748fa9831851643781608844,99688151935795822386797726261426321551337546225240423096180169702519824928731,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321987,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196350,0x263d385bc65691a061a3eaa84d3737feac5e4af5fc130ba6f2f549089e829c4b,56301447,0x2af1…310a
0xd4f2f33680fccb36748fa9831851643781608844,56144936131276258976858695197127790896421874299712391137491517756713055368526,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321988,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196424,0x7a265250d0442802d0104150f080448e5a9f8ad65b8804fd2759bdac09db7f19,56301482,0xda52…ecc5
0xd4f2f33680fccb36748fa9831851643781608844,99583132183123477254683584882920312367742502972518394923370586924769596576197,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,232716,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0xdf9597b21dc3247cf948de1634a52cdeb783bdbe,1714196664,0x8165ff582da1b412bb3a7bca08d3838ba01b885f638afb8522af0689c1d4fdd4,56301595,0x6fb8…b123
0xd4f2f33680fccb36748fa9831851643781608844,39562916724068216644211474222678289325224210992197079418842408312852184588978,0xe7e7ead361f3aacd73a61a9bd6c10ca17f38e945,321989,0xdb46d1dc155634fbc732f92e853b10b288ad5a1d,0x0b5e6100243f793e480de6088de6ba70aa9f3872,1714196676,0x6ba1f2ecf42f299e47d608ea6aee0f77b4a20ec52a9c7e3103b37144187e6ee4,56301600,0x7462…1b51
